No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,time 1,time 2 ,delay 1,delay 2,jiter
239,120.701401,192.168.43.125,104.22.52.65,TCP,55,[TCP Keep-Alive] 49221  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1,,,,,,,,,,120.724119,120.701401,0.022718,120.678683,120.655965
240,120.724119,172.217.194.94,192.168.43.125,TCP,54,"443  >  49196 [RST, ACK] Seq=58 Ack=3 Win=258 Len=0",,,,,,,,,,141.932127,120.724119,21.208008,99.516111,78.308103
267,141.932127,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49217  >  443 [ACK] Seq=1 Ack=1 Win=63612 Len=1,,,,,,,,,,142.032424,141.932127,0.100297,141.83183,141.731533
270,142.032424,103.208.137.6,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49217 [ACK] Seq=1 Ack=2 Win=63784 Len=0 SLE=1 SRE=2,,,,,,,,,,143.738272,142.032424,1.705848,140.326576,138.620728
276,143.738272,192.168.43.125,74.125.24.138,TCP,55,[TCP Keep-Alive] 49227  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,,,,,,,,,,143.86481,143.738272,0.126538,143.611734,143.485196
277,143.86481,74.125.24.138,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49227 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2,,,,,,,,,,146.655365,143.86481,2.790555,141.074255,138.2837
282,146.655365,192.168.43.125,74.125.24.138,TCP,55,[TCP Keep-Alive] 49226  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1,,,,,,,,,,146.734458,146.655365,0.079093,146.576272,146.497179
283,146.734458,74.125.24.138,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49226 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2,,,,,,,,,,150.168351,146.734458,3.433893,143.300565,139.866672
287,150.168351,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49180  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,,,,,,,,,,150.254214,150.168351,0.085863,150.082488,149.996625
288,150.254214,103.208.137.6,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49180 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,150.971469,150.254214,0.717255,149.536959,148.819704
289,150.971469,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49214  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,,,,,,,,,,151.012463,150.971469,0.040994,150.930475,150.889481
291,151.012463,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49213  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1,,,,,,,,,,151.060918,151.012463,0.048455,150.964008,150.915553
292,151.060918,103.208.137.6,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49214 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,151.092214,151.060918,0.031296,151.029622,150.998326
293,151.092214,103.208.137.6,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49213 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,152.251503,151.092214,1.159289,149.932925,148.773636
454,152.251503,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49220  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,,,,,,,,,,152.360628,152.251503,0.109125,152.142378,152.033253
472,152.360628,103.208.137.6,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49220 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,153.611474,152.360628,1.250846,151.109782,149.858936
1105,153.611474,192.168.43.125,74.125.68.188,TCP,55,[TCP Keep-Alive] 49171  >  5228 [ACK] Seq=1 Ack=1 Win=256 Len=1,,,,,,,,,,153.716491,153.611474,0.105017,153.506457,153.40144
1143,153.716491,74.125.68.188,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 5228  >  49171 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2,,,,,,,,,,155.842819,153.716491,2.126328,151.590163,149.463835
1569,155.842819,192.168.43.125,103.208.137.6,TCP,54,"49180  >  443 [FIN, ACK] Seq=2 Ack=1 Win=255 Len=0",,,,,,,,,,155.843002,155.842819,0.000183,155.842636,155.842453
1570,155.843002,192.168.43.125,103.208.137.6,TCP,54,"49214  >  443 [FIN, ACK] Seq=2 Ack=1 Win=254 Len=0",,,,,,,,,,155.843117,155.843002,0.000115,155.842887,155.842772
1571,155.843117,192.168.43.125,103.208.137.6,TCP,54,"49220  >  443 [FIN, ACK] Seq=2 Ack=1 Win=254 Len=0",,,,,,,,,,155.843228,155.843117,0.000111,155.843006,155.842895
1572,155.843228,192.168.43.125,103.208.137.6,TCP,54,"49213  >  443 [FIN, ACK] Seq=2 Ack=1 Win=258 Len=0",,,,,,,,,,155.843328,155.843228,0.0001,155.843128,155.843028
1573,155.843328,192.168.43.125,103.208.137.6,TCP,54,"49217  >  443 [FIN, ACK] Seq=2 Ack=1 Win=63612 Len=0",,,,,,,,,,155.843429,155.843328,0.000101,155.843227,155.843126
1574,155.843429,192.168.43.125,74.125.24.138,TCP,54,"49226  >  443 [FIN, ACK] Seq=2 Ack=1 Win=256 Len=0",,,,,,,,,,155.913288,155.843429,0.069859,155.77357,155.703711
1612,155.913288,74.125.24.138,192.168.43.125,TCP,54,"443  >  49226 [FIN, ACK] Seq=1 Ack=3 Win=261 Len=0",,,,,,,,,,155.913396,155.913288,0.000108,155.91318,155.913072
1613,155.913396,192.168.43.125,74.125.24.138,TCP,54,49226  >  443 [ACK] Seq=3 Ack=2 Win=256 Len=0,,,,,,,,,,155.930975,155.913396,0.017579,155.895817,155.878238
1615,155.930975,192.168.43.125,74.125.24.149,TCP,66,49231  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,155.932398,155.930975,0.001423,155.929552,155.928129
1616,155.932398,103.208.137.6,192.168.43.125,TCP,54,"443  >  49220 [FIN, ACK] Seq=1 Ack=3 Win=501 Len=0",,,,,,,,,,155.932476,155.932398,7.8E-05,155.93232,155.932242
1617,155.932476,192.168.43.125,103.208.137.6,TCP,54,49220  >  443 [ACK] Seq=3 Ack=2 Win=254 Len=0,,,,,,,,,,155.932574,155.932476,9.8E-05,155.932378,155.93228
1618,155.932574,103.208.137.6,192.168.43.125,TCP,54,"443  >  49217 [FIN, ACK] Seq=1 Ack=3 Win=63784 Len=0",,,,,,,,,,155.932611,155.932574,3.7E-05,155.932537,155.9325
1619,155.932611,192.168.43.125,103.208.137.6,TCP,54,49217  >  443 [ACK] Seq=3 Ack=2 Win=63612 Len=0,,,,,,,,,,155.932679,155.932611,6.8E-05,155.932543,155.932475
1620,155.932679,103.208.137.6,192.168.43.125,TCP,54,"443  >  49213 [FIN, ACK] Seq=1 Ack=3 Win=501 Len=0",,,,,,,,,,155.932717,155.932679,3.8E-05,155.932641,155.932603
1621,155.932717,192.168.43.125,103.208.137.6,TCP,54,49213  >  443 [ACK] Seq=3 Ack=2 Win=258 Len=0,,,,,,,,,,155.932781,155.932717,6.4E-05,155.932653,155.932589
1622,155.932781,103.208.137.6,192.168.43.125,TCP,54,"443  >  49180 [FIN, ACK] Seq=1 Ack=3 Win=501 Len=0",,,,,,,,,,155.932819,155.932781,3.8E-05,155.932743,155.932705
1623,155.932819,192.168.43.125,103.208.137.6,TCP,54,49180  >  443 [ACK] Seq=3 Ack=2 Win=255 Len=0,,,,,,,,,,155.932886,155.932819,6.7E-05,155.932752,155.932685
1624,155.932886,103.208.137.6,192.168.43.125,TCP,54,"443  >  49214 [FIN, ACK] Seq=1 Ack=3 Win=501 Len=0",,,,,,,,,,155.932922,155.932886,3.6E-05,155.93285,155.932814
1625,155.932922,192.168.43.125,103.208.137.6,TCP,54,49214  >  443 [ACK] Seq=3 Ack=2 Win=254 Len=0,,,,,,,,,,156.095341,155.932922,0.162419,155.770503,155.608084
1671,156.095341,192.168.43.125,74.125.24.149,TCP,66,49232  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,156.130005,156.095341,0.034664,156.060677,156.026013
1676,156.130005,192.168.43.125,172.217.194.157,TCP,66,49233  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,156.130677,156.130005,0.000672,156.129333,156.128661
1677,156.130677,192.168.43.125,172.217.194.157,TCP,66,49234  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,156.225622,156.130677,0.094945,156.035732,155.940787
1688,156.225622,172.217.194.157,192.168.43.125,TCP,66,"443  >  49233 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 SACK_PERM=1 WS=256",,,,,,,,,,156.225729,156.225622,0.000107,156.225515,156.225408
1689,156.225729,192.168.43.125,172.217.194.157,TCP,54,49233  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,,,,,,,,,,156.226591,156.225729,0.000862,156.224867,156.224005
1690,156.226591,192.168.43.125,172.217.194.157,TLSv1.3,571,Client Hello,,,,,,,,,,156.289529,156.226591,0.062938,156.163653,156.100715
1761,156.289529,172.217.194.157,192.168.43.125,TCP,54,443  >  49233 [ACK] Seq=1 Ack=518 Win=66816 Len=0,,,,,,,,,,156.291521,156.289529,0.001992,156.287537,156.285545
1762,156.291521,172.217.194.157,192.168.43.125,TLSv1.3,1434,"Server Hello, Change Cipher Spec",,,,,,,,,,156.292528,156.291521,0.001007,156.290514,156.289507
1763,156.292528,172.217.194.157,192.168.43.125,TCP,1434,443  >  49233 [ACK] Seq=1381 Ack=518 Win=66816 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,156.292574,156.292528,4.6E-05,156.292482,156.292436
1764,156.292574,192.168.43.125,172.217.194.157,TCP,54,49233  >  443 [ACK] Seq=518 Ack=2761 Win=66048 Len=0,,,,,,,,,,156.292641,156.292574,6.7E-05,156.292507,156.29244
1765,156.292641,172.217.194.157,192.168.43.125,TLSv1.3,175,Application Data,,,,,,,,,,156.300768,156.292641,0.008127,156.284514,156.276387
1767,156.300768,192.168.43.125,172.217.194.157,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,156.351012,156.300768,0.050244,156.250524,156.20028
1790,156.351012,74.125.24.149,192.168.43.125,TCP,66,"443  >  49231 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 SACK_PERM=1 WS=256",,,,,,,,,,156.351105,156.351012,9.3E-05,156.350919,156.350826
1791,156.351105,192.168.43.125,74.125.24.149,TCP,54,49231  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,,,,,,,,,,156.354472,156.351105,0.003367,156.347738,156.344371
1799,156.354472,192.168.43.125,74.125.24.149,TLSv1.3,571,Client Hello,,,,,,,,,,156.370606,156.354472,0.016134,156.338338,156.322204
1804,156.370606,172.217.194.157,192.168.43.125,TLSv1.3,634,"Application Data, Application Data",,,,,,,,,,156.428779,156.370606,0.058173,156.312433,156.25426
1818,156.428779,74.125.24.149,192.168.43.125,TCP,54,443  >  49231 [ACK] Seq=1 Ack=518 Win=66816 Len=0,,,,,,,,,,156.429563,156.428779,0.000784,156.427995,156.427211
1821,156.429563,74.125.24.149,192.168.43.125,TLSv1.3,1434,"Server Hello, Change Cipher Spec",,,,,,,,,,156.478703,156.429563,0.04914,156.380423,156.331283
1881,156.478703,74.125.24.149,192.168.43.125,TCP,66,"443  >  49232 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 SACK_PERM=1 WS=256",,,,,,,,,,156.478802,156.478703,9.9E-05,156.478604,156.478505
1882,156.478802,192.168.43.125,74.125.24.149,TCP,54,49232  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,,,,,,,,,,156.480059,156.478802,0.001257,156.477545,156.476288
1884,156.480059,192.168.43.125,74.125.24.149,TLSv1.3,571,Client Hello,,,,,,,,,,156.556579,156.480059,0.07652,156.403539,156.327019
1958,156.556579,74.125.24.149,192.168.43.125,TCP,54,443  >  49232 [ACK] Seq=1 Ack=518 Win=66816 Len=0,,,,,,,,,,156.565573,156.556579,0.008994,156.547585,156.538591
1959,156.565573,74.125.24.149,192.168.43.125,TLSv1.3,1434,"Server Hello, Change Cipher Spec",,,,,,,,,,156.569632,156.565573,0.004059,156.561514,156.557455
1962,156.569632,192.168.43.125,172.217.194.157,TCP,54,49233  >  443 [ACK] Seq=582 Ack=3462 Win=65536 Len=0,,,,,,,,,,156.629608,156.569632,0.059976,156.509656,156.44968
1988,156.629608,192.168.43.125,74.125.24.149,TCP,54,49231  >  443 [ACK] Seq=518 Ack=1381 Win=66048 Len=0,,,,,,,,,,156.769588,156.629608,0.13998,156.489628,156.349648
2018,156.769588,192.168.43.125,74.125.24.149,TCP,54,49232  >  443 [ACK] Seq=518 Ack=1381 Win=66048 Len=0,,,,,,,,,,157.27864,156.769588,0.509052,156.260536,155.751484
2038,157.27864,74.125.24.149,192.168.43.125,TCP,174,"[TCP Previous segment not captured] 443  >  49231 [PSH, ACK] Seq=2761 Ack=518 Win=66816 Len=120 [TCP segment of a reassembled PDU]",,,,,,,,,,157.278768,157.27864,0.000128,157.278512,157.278384
